entity_id,name,incorporation_date,ip_subnet,mcc_code,account_age_days,is_fraud
train_fraud_A0,Entity_train_fraud_A0,2025-12-22,10.0.1.0/24,5045,30,True
train_fraud_B0,Entity_train_fraud_B0,2025-12-19,10.0.1.0/24,1731,37,True
train_fraud_C0,Entity_train_fraud_C0,2025-12-20,10.0.1.0/24,5251,34,True
train_fraud_A1,Entity_train_fraud_A1,2025-12-18,10.0.1.0/24,5045,43,True
train_fraud_B1,Entity_train_fraud_B1,2025-12-21,10.0.1.0/24,1731,30,True
train_fraud_C1,Entity_train_fraud_C1,2025-12-20,10.0.1.0/24,5251,36,True
train_fraud_A2,Entity_train_fraud_A2,2025-12-22,10.0.1.0/24,5045,47,True
train_fraud_B2,Entity_train_fraud_B2,2025-12-20,10.0.1.0/24,1731,52,True
train_fraud_C2,Entity_train_fraud_C2,2025-12-18,10.0.1.0/24,5251,52,True
train_fraud_A3,Entity_train_fraud_A3,2025-12-19,10.0.1.0/24,5045,48,True
train_fraud_B3,Entity_train_fraud_B3,2025-12-19,10.0.1.0/24,1731,55,True
train_fraud_C3,Entity_train_fraud_C3,2025-12-20,10.0.1.0/24,5251,54,True
train_fraud_A4,Entity_train_fraud_A4,2025-12-20,10.0.1.0/24,5045,34,True
train_fraud_B4,Entity_train_fraud_B4,2025-12-20,10.0.1.0/24,1731,60,True
train_fraud_C4,Entity_train_fraud_C4,2025-12-19,10.0.1.0/24,5251,33,True
train_fraud_A5,Entity_train_fraud_A5,2025-12-20,10.0.1.0/24,5045,57,True
train_fraud_B5,Entity_train_fraud_B5,2025-12-19,10.0.1.0/24,1731,49,True
train_fraud_C5,Entity_train_fraud_C5,2025-12-19,10.0.1.0/24,5251,55,True
train_fraud_A6,Entity_train_fraud_A6,2025-12-22,10.0.1.0/24,5045,59,True
train_fraud_B6,Entity_train_fraud_B6,2025-12-18,10.0.1.0/24,1731,32,True
train_fraud_C6,Entity_train_fraud_C6,2025-12-18,10.0.1.0/24,5251,39,True
train_fraud_A7,Entity_train_fraud_A7,2025-12-21,10.0.1.0/24,5045,52,True
train_fraud_B7,Entity_train_fraud_B7,2025-12-21,10.0.1.0/24,1731,31,True
train_fraud_C7,Entity_train_fraud_C7,2025-12-18,10.0.1.0/24,5251,37,True
train_fraud_A8,Entity_train_fraud_A8,2025-12-22,10.0.1.0/24,5045,42,True
train_fraud_B8,Entity_train_fraud_B8,2025-12-19,10.0.1.0/24,1731,44,True
train_fraud_C8,Entity_train_fraud_C8,2025-12-18,10.0.1.0/24,5251,56,True
train_fraud_A9,Entity_train_fraud_A9,2025-12-20,10.0.1.0/24,5045,36,True
train_fraud_B9,Entity_train_fraud_B9,2025-12-19,10.0.1.0/24,1731,52,True
train_fraud_C9,Entity_train_fraud_C9,2025-12-18,10.0.1.0/24,5251,50,True
train_fraud_A10,Entity_train_fraud_A10,2025-12-21,10.0.1.0/24,5045,47,True
train_fraud_B10,Entity_train_fraud_B10,2025-12-20,10.0.1.0/24,1731,35,True
train_fraud_C10,Entity_train_fraud_C10,2025-12-19,10.0.1.0/24,5251,42,True
train_fraud_A11,Entity_train_fraud_A11,2025-12-20,10.0.1.0/24,5045,56,True
train_fraud_B11,Entity_train_fraud_B11,2025-12-21,10.0.1.0/24,1731,37,True
