tx_id,timestamp,from_id,to_id,amount,tx_type
tx_train_fraud_0_1,2026-01-01T00:00:00,train_fraud_A0,train_fraud_B0,50000.0,payout
tx_train_fraud_1_1,2026-01-01T10:00:00,train_fraud_A1,train_fraud_B1,75000.0,payout
tx_noise_train_91,2026-01-01T11:00:00,noise_src_50,noise_dst_77,15977.0,collection
tx_noise_train_15,2026-01-01T17:00:00,noise_src_15,noise_dst_92,39083.53,payout
tx_train_fraud_0_2,2026-01-01T18:00:00,train_fraud_B0,train_fraud_C0,50000.0,payout
tx_noise_train_61,2026-01-01T18:00:00,noise_src_18,noise_dst_60,3075.94,collection
tx_train_fraud_2_1,2026-01-01T20:00:00,train_fraud_A2,train_fraud_B2,200000.0,payout
tx_noise_train_54,2026-01-02T01:00:00,noise_src_40,noise_dst_98,47384.75,payout
tx_noise_train_94,2026-01-02T01:00:00,noise_src_7,noise_dst_79,26344.96,collection
tx_train_fraud_0_3,2026-01-02T02:00:00,train_fraud_C0,train_fraud_A0,50000.0,collection
tx_train_fraud_1_2,2026-01-02T03:00:00,train_fraud_B1,train_fraud_C1,75000.0,payout
tx_train_fraud_3_1,2026-01-02T06:00:00,train_fraud_A3,train_fraud_B3,75000.0,payout
tx_noise_train_81,2026-01-02T06:00:00,noise_src_8,noise_dst_80,32420.71,payout
tx_noise_train_93,2026-01-02T08:00:00,noise_src_32,noise_dst_53,25164.33,collection
tx_train_fraud_2_2,2026-01-02T10:00:00,train_fraud_B2,train_fraud_C2,200000.0,payout
tx_noise_train_10,2026-01-02T10:00:00,noise_src_42,noise_dst_78,43355.88,payout
tx_noise_train_95,2026-01-02T12:00:00,noise_src_1,noise_dst_97,20557.93,payout
tx_noise_train_0,2026-01-02T15:00:00,noise_src_25,noise_dst_95,35350.32,payout
tx_train_fraud_4_1,2026-01-02T16:00:00,train_fraud_A4,train_fraud_B4,50000.0,payout
tx_noise_train_71,2026-01-02T17:00:00,noise_src_43,noise_dst_57,16557.2,collection
